0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
111000001101010101010101010110101010101010101010010101011010101100000111 111000001101010110101010010101010101010101011010101010101010101100000111 separated by 171048
111000010101010101010101010110101010101010101010010101011010101010000111 111000010101010110101010010101010101010101011010101010101010101010000111 separated by 171177
111000011001010101010101010110101010101010101010010101011010100110000111 111000011001010110101010010101010101010101011010101010101010100110000111 separated by 171021
11100001100110010110011001011010011001101001100110011001100110011001100110000111 11100001100110011001100110011001100110010110011001011010011001101001100110000111 separated by 298343
111000100101010101010101010110101010101010101010010101011010101001000111 111000100101010110101010010101010101010101011010101010101010101001000111 separated by 315577
1110001001100110011001100110011001100110100110011001100110010110011001000111 1110001001100110100110011001100110010110011001100110011001100110011001000111 separated by 162815
111000101001010101010101010110101010101010101010010101011010100101000111 111000101001010110101010010101010101010101011010101010101010100101000111 separated by 163490
111000101010010101010101010110101010101010101010010101011010010101000111 111000101010010110101010010101010101010101011010101010101010010101000111 separated by 160527
111000110001010101010101010110101010101010101010010101011010100011000111 111000110001010110101010010101010101010101011010101010101010100011000111 separated by 163285
111001000101010101010101010110101010101010101010010101011010101000100111 111001000101010110101010010101010101010101011010101010101010101000100111 separated by 315577
1110010001100110011001100110011001100110100110011001100110010110011000100111 1110010001100110100110011001100110010110011001100110011001100110011000100111 separated by 162215
111001001001010101010101010110101010101010101010010101011010100100100111 111001001001010110101010010101010101010101011010101010101010100100100111 separated by 163285
111001010001010101010101010110101010101010101010010101011010100010100111 111001010001010110101010010101010101010101011010101010101010100010100111 separated by 163290
111001010100010101010101010110101010101010101010010101011010001010100111 111001010100010110101010010101010101010101011010101010101010001010100111 separated by 160224
111001100001010101010101010110101010101010101010010101011010100001100111 111001100001010110101010010101010101010101011010101010101010100001100111 separated by 171045
111010000101010101010101010110101010101010101010010101011010101000010111 111010000101010110101010010101010101010101011010101010101010101000010111 separated by 315577
111010001001010101010101010110101010101010101010010101011010100100010111 111010001001010110101010010101010101010101011010101010101010100100010111 separated by 163290
111010010001010101010101010110101010101010101010010101011010100010010111 111010010001010110101010010101010101010101011010101010101010100010010111 separated by 163290
111010100001010101010101010110101010101010101010010101011010100001010111 111010100001010110101010010101010101010101011010101010101010100001010111 separated by 171050
111010100010010101010101010110101010101010101010010101011010010001010111 111010100010010110101010010101010101010101011010101010101010010001010111 separated by 160223
111010100100010101010101010110101010101010101010010101011010001001010111 111010100100010110101010010101010101010101011010101010101010001001010111 separated by 160223
111010101000010101010101010110101010101010101010010101011010000101010111 111010101000010110101010010101010101010101011010101010101010000101010111 separated by 171045
111011000001010101010101010110101010101010101010010101011010100000110111 111011000001010110101010010101010101010101011010101010101010100000110111 separated by 171045
111100000101010101010101010110101010101010101010010101011010101000001111 111100000101010110101010010101010101010101011010101010101010101000001111 separated by 315579
1111000001100110011001100110011001100110100110011001100110010110011000001111 1111000001100110100110011001100110010110011001100110011001100110011000001111 separated by 170031
111100001001010101010101010110101010101010101010010101011010100100001111 111100001001010110101010010101010101010101011010101010101010100100001111 separated by 171177
111100010001010101010101010110101010101010101010010101011010100010001111 111100010001010110101010010101010101010101011010101010101010100010001111 separated by 163525
111100100001010101010101010110101010101010101010010101011010100001001111 111100100001010110101010010101010101010101011010101010101010100001001111 separated by 171731
111101000001010101010101010110101010101010101010010101011010100000101111 111101000001010110101010010101010101010101011010101010101010100000101111 separated by 171050
111101010000010101010101010110101010101010101010010101011010000010101111 111101010000010110101010010101010101010101011010101010101010000010101111 separated by 171069
111110000001010101010101010110101010101010101010010101011010100000011111 111110000001010110101010010101010101010101011010101010101010100000011111 separated by 171045
0000001111110101010101010101011010101010101010101001010101101010111111000000 0000001111110101011010101001010101010101010101101010101010101010111111000000 separated by 171049
0000010101011111010101010101011010101010101010101001010101101111101010100000 0000010101011111011010101001010101010101010101101010101010101111101010100000 separated by 35242
0000010101110111010101010101011010101010101010101001010101101110111010100000 0000010101110111011010101001010101010101010101101010101010101110111010100000 separated by 35357
0000010101111101010101010101011010101010101010101001010101101011111010100000 0000010101111101011010101001010101010101010101101010101010101011111010100000 separated by 171050
0000010111110101010101010101011010101010101010101001010101101010111110100000 0000010111110101011010101001010101010101010101101010101010101010111110100000 separated by 171073
0000011011110101010101010101011010101010101010101001010101101010111101100000 0000011011110101011010101001010101010101010101101010101010101010111101100000 separated by 171049
0000011101110101010101010101011010101010101010101001010101101010111011100000 0000011101110101011010101001010101010101010101101010101010101010111011100000 separated by 171049
0000011110110101010101010101011010101010101010101001010101101010110111100000 0000011110110101011010101001010101010101010101101010101010101010110111100000 separated by 171049
0000011111010101010101010101011010101010101010101001010101101010101111100000 0000011111010101011010101001010101010101010101101010101010101010101111100000 separated by 171049
0000011111100101010101010101011010101010101010101001010101101010011111100000 0000011111100101011010101001010101010101010101101010101010101010011111100000 separated by 171021
0000100101011111010101010101011010101010101010101001010101101111101010010000 0000100101011111011010101001010101010101010101101010101010101111101010010000 separated by 35242
0000100111110101010101010101011010101010101010101001010101101010111110010000 0000100111110101011010101001010101010101010101101010101010101010111110010000 separated by 172925
0000101001111101010101010101011010101010101010101001010101101011111001010000 0000101001111101011010101001010101010101010101101010101010101011111001010000 separated by 170160
0000101010011111010101010101011010101010101010101001010101101111100101010000 0000101010011111011010101001010101010101010101101010101010101111100101010000 separated by 35242
0000101010111101010101010101011010101010101010101001010101101011110101010000 0000101010111101011010101001010101010101010101101010101010101011110101010000 separated by 171049
0000101011001111010101010101011010101010101010101001010101101111001101010000 0000101011001111011010101001010101010101010101101010101010101111001101010000 separated by 88528
0000101011010111010101010101011010101010101010101001010101101110101101010000 0000101011010111011010101001010101010101010101101010101010101110101101010000 separated by 35267
0000101011011011010101010101011010101010101010101001010101101101101101010000 0000101011011011011010101001010101010101010101101010101010101101101101010000 separated by 171045
0000101011011101010101010101011010101010101010101001010101101011101101010000 0000101011011101011010101001010101010101010101101010101010101011101101010000 separated by 170208
0000101011101101010101010101011010101010101010101001010101101011011101010000 0000101011101101011010101001010101010101010101101010101010101011011101010000 separated by 170208
0000101011110101010101010101011010101010101010101001010101101010111101010000 0000101011110101011010101001010101010101010101101010101010101010111101010000 separated by 171050
0000101011111001010101010101011010101010101010101001010101101001111101010000 0000101011111001011010101001010101010101010101101010101010101001111101010000 separated by 171141
0000101101010111010101010101011010101010101010101001010101101110101011010000 0000101101010111011010101001010101010101010101101010101010101110101011010000 separated by 35267
0000101101110101010101010101011010101010101010101001010101101010111011010000 0000101101110101011010101001010101010101010101101010101010101010111011010000 separated by 171098
0000101110110101010101010101011010101010101010101001010101101010110111010000 0000101110110101011010101001010101010101010101101010101010101010110111010000 separated by 171050
0000101111010101010101010101011010101010101010101001010101101010101111010000 0000101111010101011010101001010101010101010101101010101010101010101111010000 separated by 171050
0000101111100101010101010101011010101010101010101001010101101010011111010000 0000101111100101011010101001010101010101010101101010101010101010011111010000 separated by 171121
000010111110011001011001100101101001100110100110011001100110011001100110011111010000 000010111110011001100110011001100110011001011001100101101001100110100110011111010000 separated by 70926
0000110011110101010101010101011010101010101010101001010101101010111100110000 0000110011110101011010101001010101010101010101101010101010101010111100110000 separated by 171687
00001100111110011001100110011001100110011010011001100110011001011001111100110000 00001100111110011010011001100110011001011001100110011001100110011001111100110000 separated by 170617
0000110101011101010101010101011010101010101010101001010101101011101010110000 0000110101011101011010101001010101010101010101101010101010101011101010110000 separated by 171050
0000110101110101010101010101011010101010101010101001010101101010111010110000 0000110101110101011010101001010101010101010101101010101010101010111010110000 separated by 171049
0000110110110101010101010101011010101010101010101001010101101010110110110000 0000110110110101011010101001010101010101010101101010101010101010110110110000 separated by 171049
0000110111010101010101010101011010101010101010101001010101101010101110110000 0000110111010101011010101001010101010101010101101010101010101010101110110000 separated by 171049
0000110111100101010101010101011010101010101010101001010101101010011110110000 0000110111100101011010101001010101010101010101101010101010101010011110110000 separated by 171021
0000111001110101010101010101011010101010101010101001010101101010111001110000 0000111001110101011010101001010101010101010101101010101010101010111001110000 separated by 171049
0000111010101101010101010101011010101010101010101001010101101011010101110000 0000111010101101011010101001010101010101010101101010101010101011010101110000 separated by 171098
0000111010110101010101010101011010101010101010101001010101101010110101110000 0000111010110101011010101001010101010101010101101010101010101010110101110000 separated by 171121
0000111011010101010101010101011010101010101010101001010101101010101101110000 0000111011010101011010101001010101010101010101101010101010101010101101110000 separated by 171049
0000111011100101010101010101011010101010101010101001010101101010011101110000 0000111011100101011010101001010101010101010101101010101010101010011101110000 separated by 171021
0000111100110101010101010101011010101010101010101001010101101010110011110000 0000111100110101011010101001010101010101010101101010101010101010110011110000 separated by 171050
0000111101010101010101010101011010101010101010101001010101101010101011110000 0000111101010101011010101001010101010101010101101010101010101010101011110000 separated by 171045
0000111101100101010101010101011010101010101010101001010101101010011011110000 0000111101100101011010101001010101010101010101101010101010101010011011110000 separated by 171021
000011110110011001011001100101101001100110100110011001100110011001100110011011110000 000011110110011001100110011001100110011001011001100101101001100110100110011011110000 separated by 172753
0000111110010101010101010101011010101010101010101001010101101010100111110000 0000111110010101011010101001010101010101010101101010101010101010100111110000 separated by 315577
00001111100110011001100110011001100110011010011001100110011001011001100111110000 00001111100110011010011001100110011001011001100110011001100110011001100111110000 separated by 172729
0000111110100101010101010101011010101010101010101001010101101010010111110000 0000111110100101011010101001010101010101010101101010101010101010010111110000 separated by 171049
0000111110101001010101010101011010101010101010101001010101101001010111110000 0000111110101001011010101001010101010101010101101010101010101001010111110000 separated by 169387
0000111111000101010101010101011010101010101010101001010101101010001111110000 0000111111000101011010101001010101010101010101101010101010101010001111110000 separated by 171049
0001000101011111010101010101011010101010101010101001010101101111101010001000 0001000101011111011010101001010101010101010101101010101010101111101010001000 separated by 35242
0001000101111101010101010101011010101010101010101001010101101011111010001000 0001000101111101011010101001010101010101010101101010101010101011111010001000 separated by 140127
0001000111110101010101010101011010101010101010101001010101101010111110001000 0001000111110101011010101001010101010101010101101010101010101010111110001000 separated by 163615
0001001001111101010101010101011010101010101010101001010101101011111001001000 0001001001111101011010101001010101010101010101101010101010101011111001001000 separated by 140127
0001001010111101010101010101011010101010101010101001010101101011110101001000 0001001010111101011010101001010101010101010101101010101010101011110101001000 separated by 161785
0001001011110101010101010101011010101010101010101001010101101010111101001000 0001001011110101011010101001010101010101010101101010101010101010111101001000 separated by 163304
0001001101110101010101010101011010101010101010101001010101101010111011001000 0001001101110101011010101001010101010101010101101010101010101010111011001000 separated by 163310
0001001110110101010101010101011010101010101010101001010101101010110111001000 0001001110110101011010101001010101010101010101101010101010101010110111001000 separated by 163295
0001001111010101010101010101011010101010101010101001010101101010101111001000 0001001111010101011010101001010101010101010101101010101010101010101111001000 separated by 163285
0001001111100101010101010101011010101010101010101001010101101010011111001000 0001001111100101011010101001010101010101010101101010101010101010011111001000 separated by 163285
000100111110011001011001100101101001100110100110011001100110011001100110011111001000 000100111110011001100110011001100110011001011001100101101001100110100110011111001000 separated by 70926
0001010001111101010101010101011010101010101010101001010101101011111000101000 0001010001111101011010101001010101010101010101101010101010101011111000101000 separated by 163300
0001010010111101010101010101011010101010101010101001010101101011110100101000 0001010010111101011010101001010101010101010101101010101010101011110100101000 separated by 163300
0001010011011101010101010101011010101010101010101001010101101011101100101000 0001010011011101011010101001010101010101010101101010101010101011101100101000 separated by 161575
0001010011101101010101010101011010101010101010101001010101101011011100101000 0001010011101101011010101001010101010101010101101010101010101011011100101000 separated by 161580
0001010011110101010101010101011010101010101010101001010101101010111100101000 0001010011110101011010101001010101010101010101101010101010101010111100101000 separated by 163304
00010100111110011001100110011001100110011010011001100110011001011001111100101000 00010100111110011010011001100110011001011001100110011001100110011001111100101000 separated by 70926
0001010100011111010101010101011010101010101010101001010101101111100010101000 0001010100011111011010101001010101010101010101101010101010101111100010101000 separated by 35242
0001010100110111010101010101011010101010101010101001010101101110110010101000 0001010100110111011010101001010101010101010101101010101010101110110010101000 separated by 33496
0001010100111101010101010101011010101010101010101001010101101011110010101000 0001010100111101011010101001010101010101010101101010101010101011110010101000 separated by 163285
0001010101011101010101010101011010101010101010101001010101101011101010101000 0001010101011101011010101001010101010101010101101010101010101011101010101000 separated by 163300
0001010101100111010101010101011010101010101010101001010101101110011010101000 0001010101100111011010101001010101010101010101101010101010101110011010101000 separated by 35276
0001010101101101010101010101011010101010101010101001010101101011011010101000 0001010101101101011010101001010101010101010101101010101010101011011010101000 separated by 163304
0001010101110101010101010101011010101010101010101001010101101010111010101000 0001010101110101011010101001010101010101010101101010101010101010111010101000 separated by 163310
0001010101111001010101010101011010101010101010101001010101101001111010101000 0001010101111001011010101001010101010101010101101010101010101001111010101000 separated by 160530
0001010110010111010101010101011010101010101010101001010101101110100110101000 0001010110010111011010101001010101010101010101101010101010101110100110101000 separated by 35267
0001010110011101010101010101011010101010101010101001010101101011100110101000 0001010110011101011010101001010101010101010101101010101010101011100110101000 separated by 163499
0001010110101101010101010101011010101010101010101001010101101011010110101000 0001010110101101011010101001010101010101010101101010101010101011010110101000 separated by 163300
0001010110110101010101010101011010101010101010101001010101101010110110101000 0001010110110101011010101001010101010101010101101010101010101010110110101000 separated by 163295
0001010110111001010101010101011010101010101010101001010101101001110110101000 0001010110111001011010101001010101010101010101101010101010101001110110101000 separated by 163305
0001010111000111010101010101011010101010101010101001010101101110001110101000 0001010111000111011010101001010101010101010101101010101010101110001110101000 separated by 70376
0001010111001101010101010101011010101010101010101001010101101011001110101000 0001010111001101011010101001010101010101010101101010101010101011001110101000 separated by 163304
0001010111010101010101010101011010101010101010101001010101101010101110101000 0001010111010101011010101001010101010101010101101010101010101010101110101000 separated by 163285
0001010111011001010101010101011010101010101010101001010101101001101110101000 0001010111011001011010101001010101010101010101101010101010101001101110101000 separated by 160530
0001010111100101010101010101011010101010101010101001010101101010011110101000 0001010111100101011010101001010101010101010101101010101010101010011110101000 separated by 163285
0001010111101001010101010101011010101010101010101001010101101001011110101000 0001010111101001011010101001010101010101010101101010101010101001011110101000 separated by 163300
0001010111110001010101010101011010101010101010101001010101101000111110101000 0001010111110001011010101001010101010101010101101010101010101000111110101000 separated by 160226
0001011001010111010101010101011010101010101010101001010101101110101001101000 0001011001010111011010101001010101010101010101101010101010101110101001101000 separated by 35267
0001011001110101010101010101011010101010101010101001010101101010111001101000 0001011001110101011010101001010101010101010101101010101010101010111001101000 separated by 163304
0001011010101101010101010101011010101010101010101001010101101011010101101000 0001011010101101011010101001010101010101010101101010101010101011010101101000 separated by 164269
0001011010110101010101010101011010101010101010101001010101101010110101101000 0001011010110101011010101001010101010101010101101010101010101010110101101000 separated by 163300
0001011011010101010101010101011010101010101010101001010101101010101101101000 0001011011010101011010101001010101010101010101101010101010101010101101101000 separated by 163330
00010110110110011001100110011001100110011010011001100110011001011001101101101000 00010110110110011010011001100110011001011001100110011001100110011001101101101000 separated by 162215
0001011011100101010101010101011010101010101010101001010101101010011101101000 0001011011100101011010101001010101010101010101101010101010101010011101101000 separated by 163300
000101101110011001011001100101101001100110100110011001100110011001100110011101101000 000101101110011001100110011001100110011001011001100101101001100110100110011101101000 separated by 70926
0001011100110101010101010101011010101010101010101001010101101010110011101000 0001011100110101011010101001010101010101010101101010101010101010110011101000 separated by 163315
0001011101010101010101010101011010101010101010101001010101101010101011101000 0001011101010101011010101001010101010101010101101010101010101010101011101000 separated by 163315
0001011101100101010101010101011010101010101010101001010101101010011011101000 0001011101100101011010101001010101010101010101101010101010101010011011101000 separated by 163390
000101110110011001011001100101101001100110100110011001100110011001100110011011101000 000101110110011001100110011001100110011001011001100101101001100110100110011011101000 separated by 164835
0001011110010101010101010101011010101010101010101001010101101010100111101000 0001011110010101011010101001010101010101010101101010101010101010100111101000 separated by 315577
00010111100110011001100110011001100110011010011001100110011001011001100111101000 00010111100110011010011001100110011001011001100110011001100110011001100111101000 separated by 166085
0001011110100101010101010101011010101010101010101001010101101010010111101000 0001011110100101011010101001010101010101010101101010101010101010010111101000 separated by 163300
0001011110101001010101010101011010101010101010101001010101101001010111101000 0001011110101001011010101001010101010101010101101010101010101001010111101000 separated by 161785
0001011111000101010101010101011010101010101010101001010101101010001111101000 0001011111000101011010101001010101010101010101101010101010101010001111101000 separated by 163300
0001100011110101010101010101011010101010101010101001010101101010111100011000 0001100011110101011010101001010101010101010101101010101010101010111100011000 separated by 163310
0001100101011101010101010101011010101010101010101001010101101011101010011000 0001100101011101011010101001010101010101010101101010101010101011101010011000 separated by 161785
0001100101110101010101010101011010101010101010101001010101101010111010011000 0001100101110101011010101001010101010101010101101010101010101010111010011000 separated by 163299
0001100110110101010101010101011010101010101010101001010101101010110110011000 0001100110110101011010101001010101010101010101101010101010101010110110011000 separated by 163330
000110011011011001011001100101101001100110100110011001100110011001100110110110011000 000110011011011001100110011001100110011001011001100101101001100110100110110110011000 separated by 161785
0001100111010101010101010101011010101010101010101001010101101010101110011000 0001100111010101011010101001010101010101010101101010101010101010101110011000 separated by 163300
0001100111100101010101010101011010101010101010101001010101101010011110011000 0001100111100101011010101001010101010101010101101010101010101010011110011000 separated by 163285
0001101001010111010101010101011010101010101010101001010101101110101001011000 0001101001010111011010101001010101010101010101101010101010101110101001011000 separated by 70376
0001101001110101010101010101011010101010101010101001010101101010111001011000 0001101001110101011010101001010101010101010101101010101010101010111001011000 separated by 165549
0001101010010111010101010101011010101010101010101001010101101110100101011000 0001101010010111011010101001010101010101010101101010101010101110100101011000 separated by 70376
0001101010011101010101010101011010101010101010101001010101101011100101011000 0001101010011101011010101001010101010101010101101010101010101011100101011000 separated by 161790
0001101010101101010101010101011010101010101010101001010101101011010101011000 0001101010101101011010101001010101010101010101101010101010101011010101011000 separated by 163300
0001101010110101010101010101011010101010101010101001010101101010110101011000 0001101010110101011010101001010101010101010101101010101010101010110101011000 separated by 163330
0001101010111001010101010101011010101010101010101001010101101001110101011000 0001101010111001011010101001010101010101010101101010101010101001110101011000 separated by 161785
0001101011010101010101010101011010101010101010101001010101101010101101011000 0001101011010101011010101001010101010101010101101010101010101010101101011000 separated by 163285
0001101011100101010101010101011010101010101010101001010101101010011101011000 0001101011100101011010101001010101010101010101101010101010101010011101011000 separated by 163295
0001101100110101010101010101011010101010101010101001010101101010110011011000 0001101100110101011010101001010101010101010101101010101010101010110011011000 separated by 163310
0001101101010101010101010101011010101010101010101001010101101010101011011000 0001101101010101011010101001010101010101010101101010101010101010101011011000 separated by 163299
0001101101100101010101010101011010101010101010101001010101101010011011011000 0001101101100101011010101001010101010101010101101010101010101010011011011000 separated by 163295
000110110110011001011001100101101001100110100110011001100110011001100110011011011000 000110110110011001100110011001100110011001011001100101101001100110100110011011011000 separated by 165550
0001101110010101010101010101011010101010101010101001010101101010100111011000 0001101110010101011010101001010101010101010101101010101010101010100111011000 separated by 315580
00011011100110011001100110011001100110011010011001100110011001011001100111011000 00011011100110011010011001100110011001011001100110011001100110011001100111011000 separated by 166205
0001101110100101010101010101011010101010101010101001010101101010010111011000 0001101110100101011010101001010101010101010101101010101010101010010111011000 separated by 163505
0001101110101001010101010101011010101010101010101001010101101001010111011000 0001101110101001011010101001010101010101010101101010101010101001010111011000 separated by 161775
0001101111000101010101010101011010101010101010101001010101101010001111011000 0001101111000101011010101001010101010101010101101010101010101010001111011000 separated by 163300
0001110001110101010101010101011010101010101010101001010101101010111000111000 0001110001110101011010101001010101010101010101101010101010101010111000111000 separated by 163330
0001110010101101010101010101011010101010101010101001010101101011010100111000 0001110010101101011010101001010101010101010101101010101010101011010100111000 separated by 163610
0001110010110101010101010101011010101010101010101001010101101010110100111000 0001110010110101011010101001010101010101010101101010101010101010110100111000 separated by 163305
0001110011010101010101010101011010101010101010101001010101101010101100111000 0001110011010101011010101001010101010101010101101010101010101010101100111000 separated by 163295
0001110011100101010101010101011010101010101010101001010101101010011100111000 0001110011100101011010101001010101010101010101101010101010101010011100111000 separated by 163295
0001110100110101010101010101011010101010101010101001010101101010110010111000 0001110100110101011010101001010101010101010101101010101010101010110010111000 separated by 163295
0001110101001101010101010101011010101010101010101001010101101011001010111000 0001110101001101011010101001010101010101010101101010101010101011001010111000 separated by 163304
0001110101010101010101010101011010101010101010101001010101101010101010111000 0001110101010101011010101001010101010101010101101010101010101010101010111000 separated by 163300
0001110101011001010101010101011010101010101010101001010101101001101010111000 0001110101011001011010101001010101010101010101101010101010101001101010111000 separated by 160530
0001110101100101010101010101011010101010101010101001010101101010011010111000 0001110101100101011010101001010101010101010101101010101010101010011010111000 separated by 163295
000111010110011001011001100101101001100110100110011001100110011001100110011010111000 000111010110011001100110011001100110011001011001100101101001100110100110011010111000 separated by 164835
0001110110010101010101010101011010101010101010101001010101101010100110111000 0001110110010101011010101001010101010101010101101010101010101010100110111000 separated by 316782
00011101100110011001100110011001100110011010011001100110011001011001100110111000 00011101100110011010011001100110011001011001100110011001100110011001100110111000 separated by 166205
0001110110100101010101010101011010101010101010101001010101101010010110111000 0001110110100101011010101001010101010101010101101010101010101010010110111000 separated by 163305
0001110110101001010101010101011010101010101010101001010101101001010110111000 0001110110101001011010101001010101010101010101101010101010101001010110111000 separated by 161795
000111011010100101010101010101010101011010101010101010101010100101101001010110111000 000111011010100101101001010101010101010101010110101010101010101010101001010110111000 separated by 161795
0001110111000101010101010101011010101010101010101001010101101010001110111000 0001110111000101011010101001010101010101010101101010101010101010001110111000 separated by 163305
0001111000110101010101010101011010101010101010101001010101101010110001111000 0001111000110101011010101001010101010101010101101010101010101010110001111000 separated by 163304
0001111001010101010101010101011010101010101010101001010101101010101001111000 0001111001010101011010101001010101010101010101101010101010101010101001111000 separated by 163285
0001111001100101010101010101011010101010101010101001010101101010011001111000 0001111001100101011010101001010101010101010101101010101010101010011001111000 separated by 163285
000111100110011001011001100101101001100110100110011001100110011001100110011001111000 000111100110011001100110011001100110011001011001100101101001100110100110011001111000 separated by 298343
0001111010010101010101010101011010101010101010101001010101101010100101111000 0001111010010101011010101001010101010101010101101010101010101010100101111000 separated by 315577
00011110100110011001100110011001100110011010011001100110011001011001100101111000 00011110100110011010011001100110011001011001100110011001100110011001100101111000 separated by 162555
0001111010100101010101010101011010101010101010101001010101101010010101111000 0001111010100101011010101001010101010101010101101010101010101010010101111000 separated by 163285
0001111010101001010101010101011010101010101010101001010101101001010101111000 0001111010101001011010101001010101010101010101101010101010101001010101111000 separated by 162065
0001111011000101010101010101011010101010101010101001010101101010001101111000 0001111011000101011010101001010101010101010101101010101010101010001101111000 separated by 163295
0001111100010101010101010101011010101010101010101001010101101010100011111000 0001111100010101011010101001010101010101010101101010101010101010100011111000 separated by 315577
0001111100100101010101010101011010101010101010101001010101101010010011111000 0001111100100101011010101001010101010101010101101010101010101010010011111000 separated by 163285
0001111101000101010101010101011010101010101010101001010101101010001011111000 0001111101000101011010101001010101010101010101101010101010101010001011111000 separated by 163295
0001111101010001010101010101011010101010101010101001010101101000101011111000 0001111101010001011010101001010101010101010101101010101010101000101011111000 separated by 160226
0001111110000101010101010101011010101010101010101001010101101010000111111000 0001111110000101011010101001010101010101010101101010101010101010000111111000 separated by 171049
0010000101011111010101010101011010101010101010101001010101101111101010000100 0010000101011111011010101001010101010101010101101010101010101111101010000100 separated by 35242
0010000111110101010101010101011010101010101010101001010101101010111110000100 0010000111110101011010101001010101010101010101101010101010101010111110000100 separated by 171683
0010001001111101010101010101011010101010101010101001010101101011111001000100 0010001001111101011010101001010101010101010101101010101010101011111001000100 separated by 140127
0010001010110111010101010101011010101010101010101001010101101110110101000100 0010001010110111011010101001010101010101010101101010101010101110110101000100 separated by 33496
0010001010111101010101010101011010101010101010101001010101101011110101000100 0010001010111101011010101001010101010101010101101010101010101011110101000100 separated by 163300
0010001011011101010101010101011010101010101010101001010101101011101101000100 0010001011011101011010101001010101010101010101101010101010101011101101000100 separated by 140145
0010001011110101010101010101011010101010101010101001010101101010111101000100 0010001011110101011010101001010101010101010101101010101010101010111101000100 separated by 163304
0010001101010111010101010101011010101010101010101001010101101110101011000100 0010001101010111011010101001010101010101010101101010101010101110101011000100 separated by 70376
0010001101110101010101010101011010101010101010101001010101101010111011000100 0010001101110101011010101001010101010101010101101010101010101010111011000100 separated by 163310
0010001110110101010101010101011010101010101010101001010101101010110111000100 0010001110110101011010101001010101010101010101101010101010101010110111000100 separated by 163295
0010001111010101010101010101011010101010101010101001010101101010101111000100 0010001111010101011010101001010101010101010101101010101010101010101111000100 separated by 163285
0010001111100101010101010101011010101010101010101001010101101010011111000100 0010001111100101011010101001010101010101010101101010101010101010011111000100 separated by 163285
001000111110011001011001100101101001100110100110011001100110011001100110011111000100 001000111110011001100110011001100110011001011001100101101001100110100110011111000100 separated by 70926
0010010011110101010101010101011010101010101010101001010101101010111100100100 0010010011110101011010101001010101010101010101101010101010101010111100100100 separated by 163290
0010010100111101010101010101011010101010101010101001010101101011110010100100 0010010100111101011010101001010101010101010101101010101010101011110010100100 separated by 163285
0010010101001111010101010101011010101010101010101001010101101111001010100100 0010010101001111011010101001010101010101010101101010101010101111001010100100 separated by 31060
0010010101010111010101010101011010101010101010101001010101101110101010100100 0010010101010111011010101001010101010101010101101010101010101110101010100100 separated by 31071
0010010101011101010101010101011010101010101010101001010101101011101010100100 0010010101011101011010101001010101010101010101101010101010101011101010100100 separated by 163285
0010010101100111010101010101011010101010101010101001010101101110011010100100 0010010101100111011010101001010101010101010101101010101010101110011010100100 separated by 35276
0010010101101101010101010101011010101010101010101001010101101011011010100100 0010010101101101011010101001010101010101010101101010101010101011011010100100 separated by 161585
0010010101110101010101010101011010101010101010101001010101101010111010100100 0010010101110101011010101001010101010101010101101010101010101010111010100100 separated by 163285
0010010101111001010101010101011010101010101010101001010101101001111010100100 0010010101111001011010101001010101010101010101101010101010101001111010100100 separated by 161585
0010010110110101010101010101011010101010101010101001010101101010110110100100 0010010110110101011010101001010101010101010101101010101010101010110110100100 separated by 163298
0010010111010101010101010101011010101010101010101001010101101010101110100100 0010010111010101011010101001010101010101010101101010101010101010101110100100 separated by 163285
0010010111100101010101010101011010101010101010101001010101101010011110100100 0010010111100101011010101001010101010101010101101010101010101010011110100100 separated by 163285
001001011110011001011001100101101001100110100110011001100110011001100110011110100100 001001011110011001100110011001100110011001011001100101101001100110100110011110100100 separated by 164830
0010011001110101010101010101011010101010101010101001010101101010111001100100 0010011001110101011010101001010101010101010101101010101010101010111001100100 separated by 163285
001001100111011001011001100101101001100110100110011001100110011001100110111001100100 001001100111011001100110011001100110011001011001100101101001100110100110111001100100 separated by 70926
0010011010101101010101010101011010101010101010101001010101101011010101100100 0010011010101101011010101001010101010101010101101010101010101011010101100100 separated by 163303
0010011010110101010101010101011010101010101010101001010101101010110101100100 0010011010110101011010101001010101010101010101101010101010101010110101100100 separated by 163298
0010011011010101010101010101011010101010101010101001010101101010101101100100 0010011011010101011010101001010101010101010101101010101010101010101101100100 separated by 163285
00100110110110011001100110011001100110011010011001100110011001011001101101100100 00100110110110011010011001100110011001011001100110011001100110011001101101100100 separated by 162129
0010011011100101010101010101011010101010101010101001010101101010011101100100 0010011011100101011010101001010101010101010101101010101010101010011101100100 separated by 163285
001001101110011001011001100101101001100110100110011001100110011001100110011101100100 001001101110011001100110011001100110011001011001100101101001100110100110011101100100 separated by 70926
0010011100101011010101010101011010101010101010101001010101101101010011100100 0010011100101011011010101001010101010101010101101010101010101101010011100100 separated by 31381
0010011100110101010101010101011010101010101010101001010101101010110011100100 0010011100110101011010101001010101010101010101101010101010101010110011100100 separated by 163299
0010011101010101010101010101011010101010101010101001010101101010101011100100 0010011101010101011010101001010101010101010101101010101010101010101011100100 separated by 163290
0010011101100101010101010101011010101010101010101001010101101010011011100100 0010011101100101011010101001010101010101010101101010101010101010011011100100 separated by 163285
001001110110011001011001100101101001100110100110011001100110011001100110011011100100 001001110110011001100110011001100110011001011001100101101001100110100110011011100100 separated by 164835
